Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
06364,="11:50:49.096",0x115DB13,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06365,="11:50:49.125",0x115DC0F,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06366,="11:50:49.155",0x115DD07,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06367,="11:50:49.186",0x115DE02,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06368,="11:50:49.215",0x115DEFA,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06369,="11:50:49.246",0x115DFF5,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06370,="11:50:49.246",0x115E0ED,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06371,="11:50:49.275",0x115E1E9,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06372,="11:50:49.306",0x115E2E0,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06373,="11:50:49.335",0x115E3DC,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06374,="11:50:49.366",0x115E4D4,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06375,="11:50:49.396",0x115E5D0,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06376,="11:50:49.396",0x115E6C8,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06377,="11:50:49.425",0x115E7C3,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06378,="11:50:49.456",0x115E8BB,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06379,="11:50:49.485",0x115E9B6,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06380,="11:50:49.485",0x115EA0C,ch1,Receive,0x1073C0D1,Data,Extended,0x08,x| 00 08 09 00 00 00 00 00 
06381,="11:50:49.485",0x115EA12,ch1,Receive,0x1075C0D1,Data,Extended,0x08,x| 00 00 59 00 7D 45 04 00 
06382,="11:50:49.485",0x115EA18,ch1,Receive,0x1080C0D1,Data,Extended,0x08,x| FF FF FF FF 00 FF 00 01 
06383,="11:50:49.516",0x115EAAD,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06384,="11:50:49.546",0x115EBAA,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06385,="11:50:49.575",0x115ECA1,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06386,="11:50:49.575",0x115ED9D,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06387,="11:50:49.606",0x115EE96,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06388,="11:50:49.635",0x115EF91,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06389,="11:50:49.665",0x115F088,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06390,="11:50:49.695",0x115F184,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06391,="11:50:49.725",0x115F27C,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06392,="11:50:49.725",0x115F377,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06393,="11:50:49.755",0x115F46F,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06394,="11:50:49.786",0x115F56B,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06395,="11:50:49.815",0x115F662,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06396,="11:50:49.845",0x115F75C,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06397,="11:50:49.876",0x115F856,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06398,="11:50:49.876",0x115F951,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06399,="11:50:49.905",0x115FA49,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06400,="11:50:49.935",0x115FB45,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06401,="11:50:49.966",0x115FC3C,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06402,="11:50:49.996",0x115FD38,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06403,="11:50:49.996",0x115FD79,ch1,Receive,0x1081C0D1,Data,Extended,0x08,x| FF 00 FF 00 FF FF FF FF 
06404,="11:50:49.996",0x115FD7F,ch1,Receive,0x1082C0D1,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
06405,="11:50:49.996",0x115FD85,ch1,Receive,0x107BFFD1,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
06406,="11:50:49.996",0x115FE30,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06407,="11:50:50.024",0x115FF2C,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06408,="11:50:50.056",0x1160023,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06409,="11:50:50.086",0x116011F,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06410,="11:50:50.116",0x1160217,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06411,="11:50:50.145",0x1160311,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06412,="11:50:50.176",0x116040A,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06413,="11:50:50.176",0x1160503,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06414,="11:50:50.205",0x11605FD,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06415,="11:50:50.235",0x11606F9,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06416,="11:50:50.265",0x11607F1,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06417,="11:50:50.295",0x11608EC,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06418,="11:50:50.325",0x11609E4,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06419,="11:50:50.325",0x1160AE0,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
